src_id,dst_id,weight
50,191,0.1026
50,247,0.1026
50,24,0.1538
50,170,0.1538
50,55,0.2051
50,28,0.1538
50,103,0.1026
50,462,0.1538
50,4,0.1026
50,83,0.1538
50,160,0.2564
50,128,0.1538
50,275,0.2051
50,26,0.1538
50,228,0.0513
50,39,0.1795
50,25,0.1026
50,205,0.1538
50,76,0.1026
50,62,0.1026
50,34,0.1538
50,467,0.0513
50,22,0.1026
50,5,0.2564
50,71,0.0513
50,89,0.1026
50,19,0.1282
50,236,0.1026
50,230,0.1026
50,72,0.1026
50,13,0.1538
50,266,0.0513
50,276,0.3077
50,17,0.1026
50,77,0.1538
50,8,0.1026
50,91,0.2051
50,262,0.1538
50,373,0.2051
50,348,0.0513
50,41,0.1795
50,132,0.2308
50,177,0.1026
50,287,0.359
50,3,0.2308
50,271,0.0513
50,157,0.1026
50,29,0.0513
50,158,0.5897
50,318,0.1282
50,119,0.1538
50,358,0.1026
50,73,0.1026
50,291,0.1026
50,16,0.1538
50,74,0.1026
50,126,0.1538
50,33,0.1026
50,1,0.1026
50,2,0.2051
50,470,0.2051
50,10,0.1026
50,110,0.1538
50,399,0.0513
50,148,0.1026
50,172,0.0256
50,11,0.3077
50,65,0.1538
50,364,0.1538
50,303,0.1026
50,61,0.1026
50,27,0.1026
200,204,0.0513
200,60,0.0513
200,107,0.0769
200,211,0.0513
200,31,0.1026
200,98,0.1026
200,397,0.0769
200,70,0.0513
200,14,0.1795
200,7,0.1282
200,58,0.0513
200,44,0.1026
200,79,0.1282
200,226,0.0769
200,72,0.0513
200,48,0.0513
200,8,0.2051
200,46,0.1282
200,6,0.2564
200,3,0.2051
200,51,0.2051
200,116,0.1026
200,284,0.0513
200,49,0.0513
200,59,0.0513
200,129,0.1282
200,288,0.0769
200,1,0.1538
200,32,0.1026
200,42,0.1538
200,133,0.0513
200,68,0.0513
200,45,0.1538
200,270,0.0769
200,109,0.0513
200,292,0.0256
200,111,0.0513
127,238,0.0513
127,124,0.1538
127,326,0.0513
127,311,0.0513
127,166,0.0769
127,28,0.1026
127,178,0.1026
127,122,0.2564
127,54,0.0513
127,34,0.2564
127,467,0.0513
127,240,0.0513
127,298,0.0513
127,5,0.2051
127,169,0.0513
127,89,0.0513
127,222,0.1538
127,90,0.2564
127,92,0.0513
127,17,0.1538
127,162,0.0256
127,493,0.0513
127,213,0.0513
127,82,0.0513
127,381,0.2051
127,20,0.2564
127,153,0.1026
127,234,0.0513
127,29,0.2308
127,16,0.2051
127,323,0.1538
127,66,0.0513
127,84,0.0513
127,85,0.0513
127,496,0.0513
127,442,0.0513
127,106,0.1538
127,114,0.2051
127,69,0.1026
127,203,0.1026
127,426,0.1026
127,356,0.0513
127,403,0.0513
127,61,0.1538
127,30,0.2051
127,192,0.1026
127,47,0.1538
447,491,0.0513
447,46,0.0513
447,288,0.0513
193,247,0.0513
193,24,0.1538
193,55,0.1026
193,103,0.1026
193,462,0.0256
193,4,0.0513
193,160,0.1026
193,275,0.0513
193,39,0.0769
193,205,0.1026
193,76,0.5641
193,331,0.1026
193,18,0.2308
193,5,0.0513
193,266,0.0513
193,276,0.0513
193,17,0.1026
193,77,0.1026
193,262,0.0513
193,373,0.0513
193,132,0.2051
193,177,0.0513
193,287,0.1026
193,3,0.2051
193,157,0.0513
193,158,0.1538
193,318,0.1026
193,258,0.1026
193,73,0.1026
193,470,0.0513
193,110,0.1026
193,399,0.1026
193,172,0.0513
193,364,0.0513
472,21,0.1026
472,86,0.1026
472,75,0.0513
472,26,0.0513
472,214,0.1026
472,88,0.0513
472,2,0.1538
472,10,0.0513
472,63,0.1026
472,115,0.0513
472,206,0.1538
472,105,0.1538
472,146,0.1026
472,101,0.0513
472,80,0.0513
472,35,0.1026
12,417,0.0513
12,238,0.1538
12,208,0.0513
12,124,0.1026
12,254,0.1026
12,185,0.1538
12,243,0.1026
12,100,0.0513
12,312,0.1026
12,166,0.0513
12,28,0.2564
12,178,0.1026
12,171,0.1026
12,268,0.0513
12,103,0.0513
12,4,0.2564
12,122,0.0513
12,313,0.0513
12,128,0.2051
12,54,0.2051
12,196,0.0513
12,136,0.1026
12,453,0.1026
12,267,0.1026
12,244,0.1026
12,25,0.1538
12,76,0.1282
12,434,0.1026
12,62,0.1026
12,34,0.2051
12,18,0.0513
12,134,0.1538
12,240,0.0513
12,175,0.0513
12,44,0.1026
12,225,0.0513
12,22,0.2051
12,295,0.1026
12,5,0.2051
12,176,0.1538
12,309,0.0513
12,169,0.0513
12,296,0.1538
12,71,0.0513
12,89,0.1026
12,222,0.1538
12,90,0.2051
12,92,0.2051
12,161,0.1538
12,276,0.0513
12,17,0.0513
12,8,0.4615
12,162,0.1026
12,492,0.0513
12,213,0.1026
12,82,0.1538
12,381,0.1026
12,20,0.3077
12,287,0.0513
12,3,0.1538
12,378,0.1026
12,269,0.0513
12,57,0.2051
12,99,0.1538
12,278,0.1026
12,153,0.0513
12,234,0.1538
12,112,0.1538
12,23,0.1795
12,419,0.1538
12,29,0.1538
12,15,0.2564
12,143,0.1026
12,123,0.1026
12,291,0.0513
12,16,0.1538
12,74,0.2051
12,219,0.1026
12,120,0.1538
12,202,0.0513
12,180,0.1026
12,323,0.1026
12,456,0.0513
12,163,0.2564
12,430,0.0513
